id,species,altura_aerea_cm,comp_raiz_cm,f_pesofresco,f_pesofresco_peciolo,f_pesofresco_sla,f_pesofresco_peciolo_SLA,t_pesofresco,t_pesofresco_vol,t_pesofresco_casca_vol,t_volume,r_presofresco,r_pesofrescoSRL_sup,pesofresco_SRL_inf,r_pesofresco_vol,r_pesofresco_casca_vol,r_volume,r_pesofresco_bioq,r_reserva,t_pesoseco,r_pesoseco,t_pesoseco_casca_vol,t_pesoseco_vol,r_pesoseco_casca_vol,r_pesoseco_vol,t_pesoenxarcado_casca_vol,t_pesoenxarcado_vol,r_pesoenxarcado_casca_vol,r_pesoenxarcado_vol,f_pesoseco,f_pesoseco_peciolo,f_pesoseco_sla,f_pesoseco_peciolo_SLA,r_pesosecoSRL_sup,pesoseco_SRL_inf,f_areaumida,f_areaumida_pec,r_areaumidasup,f_peso_fresco,f_fresco_peciolo,f_fresco_total,f_peso_seco,f_biomassa,f_seco_peciolo,f_seco_total,SLA,LA,t_peso_fresco,t_peso_seco,t_capac_arm_casca,t_capac_arm_lenho,t_dens,r_peso_fresco,r_peso_seco,r_capac_arm_casca,r_capac_arm_lenho,r_dens,SRA
sp70,juca,102,92,2.65,0.08,0.96,0.06,9.86,0.44,0.19,0.32,26.78,0.82,1.36,1.24,0.37,1.03,1.25,n,5.72,11.42,0.068,0.2853,0.138,0.554,0.2,0.43,0.372,1.2104,0.98,0.04,0.32,0.01,0.33,0.22,60.64,NA,41.498,3.61,0.14,3.75,1.3,0.106666667,0.05,1.35,18.95,2021.333333,10.49,6.0733,1.941176471,0.507185419,0.8915625,31.82,12.662,1.695652174,1.184837545,0.537864078,12.57515152
sp71,jupreta,88,105,3.06,0.17,1.33,0.05,18.28,0.88,0.62,0.73,35.17,1.37,1.32,0.62,0.5,0.52,1.63,n,9.98,9.18,0.213,0.441,0.1843,0.2569,0.68,0.89,0.5708,0.5904,1.15,62,0.38,0.015,0.16,0.23,92.467,NA,51.152,4.39,0.22,4.61,1.53,0.126666667,62.015,63.545,24.33342105,3082.233333,19.78,10.634,2.192488263,1.01814059,0.604109589,40.61,10.0112,2.097124254,1.298170494,0.494038462,31.97
sp72,jupreta,70,113,5.75,0.47,0.8,0.05,10.3,0.49,0.28,0.4,24.32,0.23,0.5,0.17,0.4,0.2,1.3,n,4.08,5.28,0.087,0.253,0.1292,0.1082,0.27,0.53,0.4188,0.2332,2.09,0.16,0.26,0.01,0.1,0.14,60.319,NA,33.571,6.55,0.52,7.07,2.35,0.086666667,0.17,2.52,23.19961538,2010.633333,11.07,4.42,2.103448276,1.09486166,0.6325,26.92,5.7574,2.241486068,1.155268022,0.541,33.571
sp73,jupreta,132,108,19.15,1.05,1.96,0.07,45.87,1.68,0.72,0.43,50.06,1.51,0.81,0.26,0.34,0.22,1.4,n,19.74,16.62,0.199,0.787,0.0812,0.1107,0.74,1.7,0.2623,0.2435,7.27,0.34,0.67,0.24,0.41,0.16,133.257,NA,36.344,21.11,1.12,22.23,7.94,0.223333333,0.58,8.52,19.88910448,4441.9,48.27,20.726,2.718592965,1.160101652,1.830232558,54.38,17.3819,2.230295567,1.199638663,0.503181818,8.864390244
sp74,jupreta,95,106,10.95,0.78,1.66,0.07,19.35,0.95,0.38,0.81,28.46,1.17,0.8,0.34,0.4,0.29,1.06,n,9.02,9.29,0.137,0.516,0.1073,0.1677,0.51,1,0.3967,0.3388,4.94,0.27,0.6,0.02,0.27,0.01,111.091,NA,73.032,12.61,0.85,13.46,5.54,0.2,0.29,5.83,18.51516667,3703.033333,20.68,9.673,2.722627737,0.937984496,0.637037037,32.23,9.845,2.697110904,1.020274299,0.578275862,27.04888889
sp75,jupreta,115,105,15.82,0.62,3.3,0.09,46.13,0.41,0.47,1.95,51.08,1.14,1.24,2.27,1.04,1.32,1.34,n,19.91,15.11,0.281,1.121,0.1026,0.1443,1,2.25,0.3766,0.3757,5.78,0.17,1.22,0.03,0.33,0.01,176.015,NA,57.245,19.12,0.71,19.83,7,0.406666667,0.2,7.2,14.42745902,5867.166667,47.01,21.312,2.558718861,1.007136485,0.574871795,58.11,15.6969,2.670565302,1.603603604,0.109318182,17.3469697
sp76,jb,213,118.5,54.68,2.54,3.7,0.18,99.44,4.49,1.41,3.69,78.03,0.55,1.45,0.75,0.36,0.59,1.46,n,40.65,29.95,0.391,2.733,0.0705,0.4076,1.38,4.47,0.329,0.7074,19.48,0.88,1.31,0.07,0.18,0.21,252.093,NA,43.039,58.38,2.72,61.1,20.79,0.436666667,0.95,21.74,19.24374046,8403.1,105.34,43.774,2.529411765,0.635565313,0.740650407,82.6,30.8181,3.666666667,0.735525025,0.690847458,23.91055556
sp77,jb,173,129,15.81,1.2,1.03,0.13,30.9,1.29,0.45,1.04,18.82,0.41,0.56,0.6,0.31,0.47,1.1,n,14.67,6.9,0.108,0.74,0.0698,0.3306,0.45,1.26,0.2648,0.5872,5.72,0.38,0.48,0.036,0.15,0.15,110.033,NA,24.731,16.84,1.33,18.17,6.2,0.16,0.416,6.616,22.92354167,3667.766667,32.64,15.518,3.166666667,0.702702703,0.711538462,21.8,7.6004,2.793696275,0.776164549,0.703404255,16.48733333
sp78,jb,193,115,31.86,2.59,1.65,0.16,54.05,2.38,0.6,2.23,42.37,0.33,0.81,0.76,0.32,0.63,1.04,n,25.97,13.89,0.193,1.259,0.0701,0.2607,0.62,2.63,0.1949,0.7029,10.99,0.94,0.58,0.049,0.1,0.16,200.185,NA,39.504,33.51,2.75,36.26,11.57,0.193333333,0.989,12.559,34.51465517,6672.833333,57.03,27.422,2.212435233,1.088959492,0.564573991,45.63,14.4808,1.780313837,1.696202532,0.413809524,39.504
sp79,jb,154,107,9.99,0.94,1.27,0.08,39.38,1.14,0.4,1.14,36.6,0.79,1.13,0.31,0.18,0.25,1.14,n,19.46,9.06,0.112,0.549,0.0331,0.1066,0.41,1.62,0.1623,0.2861,3.07,0.28,0.41,0.022,0.23,0.22,162.114,NA,53.505,11.26,1.02,12.28,3.48,0.136666667,0.302,3.782,39.54,5403.8,40.92,20.121,2.660714286,1.950819672,0.481578947,40.15,9.6497,3.903323263,1.683864916,0.4264,23.26304348
