id,species,altura_aerea_cm,comp_raiz_cm,f_pesofresco,f_pesofresco_peciolo,f_pesofresco_sla,f_pesofresco_peciolo_SLA,t_pesofresco,t_pesofresco_vol,t_pesofresco_casca_vol,t_volume,r_presofresco,r_pesofrescoSRL_sup,pesofresco_SRL_inf,r_pesofresco_vol,r_pesofresco_casca_vol,r_volume,r_pesofresco_bioq,r_reserva,t_pesoseco,r_pesoseco,t_pesoseco_casca_vol,t_pesoseco_vol,r_pesoseco_casca_vol,r_pesoseco_vol,t_pesoenxarcado_casca_vol,t_pesoenxarcado_vol,r_pesoenxarcado_casca_vol,r_pesoenxarcado_vol,f_pesoseco,f_pesoseco_peciolo,f_pesoseco_sla,f_pesoseco_peciolo_SLA,r_pesosecoSRL_sup,pesoseco_SRL_inf,f_areaumida,f_areaumida_pec,r_areaumidasup,f_peso_fresco,f_fresco_peciolo,f_fresco_total,f_peso_seco,f_biomassa,f_seco_peciolo,f_seco_total,SLA,LA,t_peso_fresco,t_peso_seco,t_capac_arm_casca,t_capac_arm_lenho,t_dens,r_peso_fresco,r_peso_seco,r_capac_arm_casca,r_capac_arm_lenho,r_dens,SRA
sp28,ipe,77,105,28.56,3.89,6.13,0.59,21.36,0.84,1.16,0.67,168.65,1.53,2.22,0.12,1.39,0.1,1.36,n,8.42,46.05,0.298,0.493,0.15,0.0595,0.97,0.83,1.0732,0.1287,9.92,1.32,2.29,0.2,0.43,0.47,286.264,NA,45.083,34.69,4.48,39.17,12.21,0.763333333,1.52,13.73,12.50061135,9542.133333,23.36,9.211,2.255033557,0.68356998,0.735820896,175.27,47.1595,6.154666667,1.16302521,0.595,10.4844186
sp29,ipe,59,100,12,1.8,3.12,0.32,5.89,0.36,0.66,0.3,45.54,1.35,1.79,0.31,1.43,0.22,1.1,n,2.24,11.68,0.195,0.2,0.1899,0.1264,0.66,0.38,1.0387,0.2824,4.09,0.6,1.2,0.12,0.33,0.33,187.91,NA,63.389,15.12,2.12,17.24,5.29,0.4,0.72,6.01,15.65916667,6263.666667,6.91,2.635,2.384615385,0.9,0.666666667,51.52,12.6563,4.469720906,1.234177215,0.574545455,19.20878788
sp30,ipe,95,100,42.65,6.92,5.73,0.81,38.89,1.17,1.27,0.96,239.41,1.95,2.5,0.12,0.59,0.9,1.35,n,15.71,74.32,0.271,0.645,0.0846,0.0643,0.97,1.16,0.4255,0.1179,16.91,0.27,2.22,2.33,0.4,0.43,347.857,NA,87.461,48.38,7.73,56.11,19.13,0.74,2.6,21.73,15.66923423,11595.23333,41.33,16.626,2.579335793,0.798449612,0.671875,245.92,75.2989,4.029550827,0.833592535,0.071444444,21.86525
sp31,mofumbo,60,101,30.85,1.76,3.01,0.16,19.02,1.3,0.8,1.08,117.55,0.92,1.99,0.38,0.33,0.29,1.63,n,7.57,44.47,0.21,0.706,0.0767,0.203,0.76,1.29,0.2873,0.376,10.45,0.33,0.97,0,0.26,0.27,197.811,NA,62.489,33.86,1.92,35.78,11.42,0.323333333,0.33,11.75,20.3928866,6593.7,21.12,8.486,2.619047619,0.827195467,0.653703704,122.8,45.2797,2.745762712,0.852216749,0.7,24.03423077
sp32,mofumbo,80,101,18.68,0.75,2.87,0.1,24.38,1.62,0.74,1.34,51.69,0.54,0.88,0.76,0.57,0.61,2.41,n,10.38,17.5,0.215,0.889,0.1432,0.4136,0.85,1.62,0.5981,0.7553,6.17,0.18,1.01,0,0.23,0.16,148.742,NA,41.508,21.55,0.85,22.4,7.18,0.336666667,0.18,7.36,14.72693069,4958.066667,26.74,11.484,2.953488372,0.822272216,0.663432836,56.85,18.4468,3.176675978,0.826160542,0.678032787,18.04695652
sp33,mofumbo,60,99,19.49,0.71,2.57,0.08,11.65,0.56,0.31,0.47,25.14,0.39,0.96,0.28,0.35,0.24,1.14,n,4.07,5.73,0.077,0.252,0.0891,0.133,0.3,0.54,0.3156,0.2724,5.84,0.25,0.82,0,0.1,0.24,176.134,NA,33.9,22.06,0.79,22.85,6.66,0.273333333,0.25,6.91,21.4797561,5871.133333,12.52,4.399,2.896103896,1.142857143,0.536170213,28.26,6.2921,2.542087542,1.048120301,0.554166667,33.9
sp34,mofumbo,74,89.5,28.55,0.77,2.54,0.12,22.9,1.42,0.84,1.17,81.75,1.31,2.6,0.48,0.54,0.39,1.42,n,9.03,21.71,0.213,0.804,0.1318,0.2724,0.82,1.41,0.5239,0.4618,8.64,0.19,0.76,0,0.31,0.43,138.811,NA,61.408,31.09,0.89,31.98,9.4,0.253333333,0.19,9.59,18.26460526,4627.033333,25.16,10.047,2.849765258,0.753731343,0.687179487,88.1,22.8542,2.974962064,0.695301028,0.698461538,19.80903226
sp35,mofumbo,54,96,9.49,0.48,1.66,0.11,7.19,0.45,0.59,0.36,17.37,0.67,1,0.36,0.56,0.27,1.01,n,2.54,4.44,0.17,0.211,0.163,0.1573,0.56,0.42,0.4884,0.3286,3.08,0.13,0.61,0,0.11,0.1,142.679,NA,57.671,11.15,0.59,11.74,3.69,0.203333333,0.13,3.82,23.39,4755.966667,8.23,2.921,2.294117647,0.990521327,0.586111111,20.97,4.9703,1.996319018,1.089001907,0.582592593,52.42818182
sp36,imburana,54,80,9.45,1.01,1.96,0.23,49.29,6.82,2.64,6.44,91.54,0.95,0.8,0.43,0.44,0.48,1.1,n,12.3,23.98,0.615,1.915,0.0525,0.1249,2.03,6.33,0.2622,0.4889,1.94,0.17,0.38,0.04,0.15,0.08,128.443,NA,48.668,11.41,1.24,12.65,2.32,0.126666667,0.21,2.53,33.80078947,4281.433333,58.75,14.83,2.300813008,2.305483029,0.297360248,95.26,24.3874,3.994285714,2.914331465,0.260208333,32.44533333
sp37,imburana,56,94,22.15,1.71,2.73,0.27,38.22,3.15,1.91,2.97,60.52,1.49,1.13,0.95,0.88,0.86,1.62,n,8.54,12,0.272,0.717,0.0675,0.2082,1.31,2.97,0.4209,0.8274,4.62,0.32,0.53,0.05,0.23,0.01,122.728,NA,49.489,24.88,1.98,26.86,5.15,0.176666667,0.37,5.52,23.15622642,4090.933333,43.28,9.529,3.816176471,3.142259414,0.241414141,66.59,12.5157,5.235555556,2.974063401,0.242093023,21.51695652
sp38,imburana,45.5,52.3,4.5,0.63,1.71,0.24,7.1,1.06,1.12,1.05,11.39,0.84,1.16,1.15,0.95,1.05,1.02,n,0.81,1.94,0.196,0.186,0.04,0.15,0.71,0.98,0.39,0.5,0.9,0.1,0.34,0.043,0.22,0.11,102.083,NA,29.88,6.21,0.87,7.08,1.24,0.113333333,0.143,1.383,30.02441176,3402.766667,9.28,1.192,2.62244898,4.268817204,0.177142857,16.51,2.46,8.75,2.333333333,0.142857143,13.58181818
sp39,imburana,42,82.5,6.55,0.63,2.07,0.23,8.34,1.46,1.05,1.37,28.26,0.68,1.05,0.44,0.48,0.41,1.12,n,1.19,4.9,0.133,0.255,0.0344,0.0766,0.49,1.28,0.2046,0.4133,0.97,0.1,0.33,0.03,0.09,0.1,125.329,NA,29.658,8.62,0.86,9.48,1.3,0.11,0.13,1.43,37.97848485,4177.633333,10.85,1.578,2.684210526,4.019607843,0.186131387,32.03,5.201,4.947674419,4.395561358,0.186829268,32.95333333
sp40,imburana,105,92,52.05,6.58,3.87,0.34,92.82,5.72,2.57,5.42,150.25,0.94,1.84,0.72,0.67,0.68,1.77,n,22.31,39.17,0.419,1.502,0.0596,0.2096,1.52,5.26,0.393,0.6736,14.16,1.21,0.86,0.06,0.22,0.18,164.672,NA,27.081,55.92,6.92,62.84,15.02,0.286666667,1.27,16.29,19.14790698,5489.066667,101.11,24.231,2.627684964,2.501997337,0.277121771,156.19,39.8392,5.593959732,2.213740458,0.308235294,12.30954545
sp41,catingueira,53,101,4.9,0.18,5.13,0.2,7.25,0.73,0.34,0.56,24.58,0.56,1.11,0.59,0.16,0.44,1.22,n,3.14,9.83,0.067,0.391,0.0554,0.3364,0.25,0.68,0.1577,0.5587,1.7,0.07,1.72,0.07,0.26,0.18,253.329,NA,51.87,10.03,0.38,10.41,3.42,0.573333333,0.14,3.56,14.72843023,8444.3,8.32,3.598,2.731343284,0.739130435,0.698214286,28.22,10.6618,1.846570397,0.660820452,0.764545455,19.95
sp42,catingueira,48,93.5,2.74,0.16,4.6,0.23,7.1,0.95,0.31,0.74,24.38,0.63,1.47,0.97,0.18,0.76,1.33,n,2.94,9.93,0.097,0.515,0.0593,0.5008,0.27,0.89,0.1823,0.9141,0.98,0.06,1.57,0.09,0.27,0.31,290.215,NA,45.596,7.34,0.39,7.73,2.55,0.523333333,0.15,2.7,18.48503185,9673.833333,8.36,3.552,1.783505155,0.72815534,0.695945946,28.96,11.0701,2.074198988,0.825279553,0.658947368,16.88740741
sp43,catingueira,96,100,15.24,0.54,5.3,0.26,24.52,1.76,0.48,1.4,48.72,0.65,0.6,0.33,0.11,0.27,1.68,n,12.83,21.47,0.125,1.001,0.043,0.1891,0.35,1.67,0.1069,0.3295,5.55,0.21,1.79,0.1,0.26,0.18,252.015,NA,33.878,20.54,0.8,21.34,7.34,0.596666667,0.31,7.65,14.07905028,8400.5,26.76,13.956,1.8,0.668331668,0.715,52.09,22.1421,1.486046512,0.742464305,0.70037037,13.03
sp44,catingueira,94,96.5,13.7,0.62,6.84,0.2,35.05,1.5,0.4,1.19,69.58,1,1.48,0.52,0.17,0.39,1.38,n,20.2,32.61,0.137,0.886,0.0624,0.318,0.38,1.47,0.1831,0.5097,5.95,0.27,2.98,0.09,0.47,0.5,349.703,NA,48.841,20.54,0.82,21.36,8.93,0.993333333,0.36,9.29,11.735,11656.76667,36.95,21.223,1.773722628,0.659142212,0.744537815,74.13,33.9604,1.934294872,0.602830189,0.815384615,10.39170213
sp45,catingueira,120,103,29.54,1.5,3.38,0.13,56.4,1.88,0.56,1.49,88.02,1.63,1.29,0.71,0.26,0.56,1.42,n,31.46,32.93,0.159,1.162,0.0743,0.4097,0.52,1.87,0.2251,0.6775,13.19,0.68,1.64,0.06,0.71,0.34,230.508,NA,66.696,32.92,1.63,34.55,14.83,0.546666667,0.74,15.57,14.05536585,7683.6,58.84,32.781,2.270440252,0.60929432,0.779865772,93.33,34.464,2.02960969,0.653649011,0.731607143,9.393802817
sp47,burra,102,89,39.6,0.85,0.61,0,42.96,1.98,0.97,1.94,52.1,2.19,1.9,1.16,0.6,1.09,1.02,n,20.54,19.51,0.276,1.223,0.1107,0.6096,1.04,2.19,0.6019,1.194,12.31,0.19,0.21,0,0.23,0.5,22.424,NA,60.24,40.21,0.85,41.06,12.52,0.07,0.19,12.71,10.67809524,747.4666667,45.91,22.039,2.768115942,0.790678659,0.630412371,58.97,20.9603,4.437217706,0.958661417,0.559266055,26.19130435
sp48,burra,120,94,39.44,1.08,0.57,0,48.27,1.62,1.1,1.54,64.51,1.76,1.28,0.81,0.59,0.78,1.84,n,23.02,22.58,0.295,0.984,0.1414,0.475,1.22,1.81,0.5726,0.923,11.45,0.41,0.1,0,0.52,0.24,28.367,NA,121,40.01,1.08,41.09,11.55,0.033333333,0.41,11.96,28.367,945.5666667,50.99,24.299,3.13559322,0.839430894,0.638961039,70.79,23.9564,3.04950495,0.943157895,0.608974359,23.26923077
sp49,burra,81,102.5,13.39,0.27,0.59,0,13.97,0.65,0.52,0.59,22.81,0.91,1.39,0.68,0.46,0.64,1.13,n,6.37,7.95,0.131,0.395,0.1062,0.4053,0.57,0.73,0.452,1.7818,3.45,0,0.16,0,0.32,0.15,32.787,NA,43.372,13.98,0.27,14.25,3.61,0.053333333,0,3.61,20.491875,1092.9,15.14,6.896,3.351145038,0.848101266,0.669491525,27.38,8.9315,3.256120527,3.396249692,0.63328125,13.55375
sp50,burra,81,100,27.69,0.7,0.85,0.03,20.04,0.93,0.63,0.88,53.78,0.91,1.47,1.68,1,1.63,1.25,n,8.54,12.79,0.143,0.567,0.2075,1.0027,0.76,1.02,0.9097,1.2,7.54,0.21,0.21,0,0.32,0.18,46.6,NA,34.59,28.54,0.73,29.27,7.75,0.07,0.21,7.96,22.19047619,1553.333333,21.6,9.25,4.314685315,0.798941799,0.644318182,60.09,14.5002,3.384096386,0.196768724,0.615153374,10.809375
sp51,pereiro,50,90,11.95,0.36,1.26,0.06,14.86,0.43,2.17,0.37,19.1,0.56,0.97,0.51,0.48,0.46,1.25,n,5.47,5.51,0.493,0.293,0.062,0.182,2.15,0.45,0.3351,0.38,3.59,0.11,0.34,0.01,0.1,0.09,57.786,NA,34.773,13.21,0.42,13.63,3.93,0.113333333,0.12,4.05,16.99588235,1926.2,17.46,6.256,3.361054767,0.535836177,0.791891892,22.87,5.944,4.40483871,1.087912088,0.395652174,34.773
sp52,pereiro,47,90.5,3.97,0.18,0.74,0.04,15.62,0.47,2.1,0.32,9.48,0.67,0.74,0.11,0.57,0.09,1.4,n,5.84,2.59,0.503,0.275,0.086,0.075,1.81,0.45,0.3934,0.1236,1.21,0.05,0.21,0.01,0.16,0.09,36.505,NA,37.074,4.71,0.22,4.93,1.42,0.07,0.06,1.48,17.38333333,1216.833333,18.19,6.618,2.598409543,0.636363636,0.859375,12.97,3.001,3.574418605,0.648,0.833333333,23.17125
sp53,pereiro,45,98,6.38,0.2,1.06,0.03,16.85,0.54,3.02,0.4,15.54,1.32,0.96,0.29,1.02,0.22,1.47,n,6.64,3.81,0.832,0.344,0.232,0.171,2.5,0.53,0.8035,0.2858,1.87,0.03,0.31,0.01,0.34,0.1,42.438,NA,47.748,7.44,0.23,7.67,2.18,0.103333333,0.04,2.22,13.68967742,1414.6,20.41,7.816,2.004807692,0.540697674,0.86,20.6,4.653,2.463362069,0.671345029,0.777272727,14.04352941
sp54,pereiro,64,86,14.7,0.59,1.22,0.04,26.32,0.85,2.08,0.67,23.25,1.15,1.22,0.16,0.34,0.13,1.72,n,10.44,6.33,0.469,0.544,0.062,0.095,1.62,0.85,0.3176,0.1614,4.45,0.11,0.32,0.01,0.27,0.13,50.006,NA,74.481,15.92,0.63,16.55,4.77,0.106666667,0.12,4.89,15.626875,1666.866667,29.25,11.453,2.454157783,0.5625,0.811940299,27.84,6.887,4.122580645,0.698947368,0.730769231,27.58555556
sp55,pereiro,48.5,102,15.96,0.53,0.96,0.05,23.34,0.73,2.27,0.59,36.12,1.02,1.18,0.17,1.12,0.14,1.6,n,9.25,7.94,0.665,0.464,0.206,0.109,2.29,0.72,0.8536,0.1754,4.34,0.12,0.24,0.01,0.23,0.12,41.692,NA,49.032,16.92,0.58,17.5,4.58,0.08,0.13,4.71,17.37166667,1389.733333,26.34,10.379,2.443609023,0.551724138,0.786440678,41.21,8.605,3.14368932,0.609174312,0.778571429,21.31826087
sp56,joazeiro ,56,74.5,8.33,0,0.54,0,17.15,1.39,0.57,1.17,19.67,0.71,2.18,0.75,0.3,0.61,1.11,n,8.4,8.47,0.12,0.718,0.093,0.332,0.58,1.37,0.2571,0.7066,3.12,0,0.2,0,0.34,0.16,78.862,NA,43.34,8.87,0,8.87,3.32,0.066666667,0,3.32,39.431,2628.733333,19.11,9.238,3.833333333,0.908077994,0.613675214,24.72,9.395,1.764516129,1.128313253,0.544262295,12.74705882
sp57,joazeiro ,46,105,16.2,0,0.73,0,13.8,1.15,0.27,0.97,26.13,0.72,0.51,0.94,0.43,0.84,1.05,n,7.05,7.87,0.053,0.545,0.101,0.395,0.3,1.06,0.4084,0.8753,5.53,0,0.25,0,0.23,0.21,67.906,NA,23.63,16.93,0,16.93,5.78,0.083333333,0,5.78,27.1624,2263.533333,15.22,7.648,4.660377358,0.944954128,0.56185567,29.78,8.806,3.043564356,1.215949367,0.470238095,10.27391304
sp58,joazeiro ,52,104,13.32,0,0.63,0,12.1,1.05,0.47,0.9,8.64,1.24,1.97,0.87,0.24,0.79,1.23,n,6.23,3.15,0.082,0.487,0.061,0.348,0.34,0.97,0.2114,0.8372,4.65,0,0.22,0,0.19,0.22,57.11,NA,48.02,13.95,0,13.95,4.87,0.073333333,0,4.87,25.95909091,1903.666667,13.62,6.799,3.146341463,0.991786448,0.541111111,14.19,3.969,2.46557377,1.405747126,0.440506329,25.27368421
sp59,joazeiro ,62,102,16.04,0,0.48,0,15.36,1.03,0.62,0.9,31.21,0.6,1.81,0.48,0.37,0.43,1.51,n,7.46,8.08,0.121,0.526,0.084,0.22,0.75,1.08,0.3652,0.4806,5.4,0,0.18,0,0.22,0.17,61.683,NA,29.05,16.52,0,16.52,5.58,0.06,0,5.58,34.26833333,2056.1,17.01,8.107,5.198347107,1.053231939,0.584444444,35.98,8.774,3.347619048,1.184545455,0.511627907,13.20454545
