"","plot","div","cresc.altura_mean","cresc.nfol_mean","cresc.LA_mean","cresc.biomassa_mean","cresc.altura_sd","cresc.nfol_sd","cresc.LA_sd","cresc.biomassa_sd"
"1","1","1",-0.14375,32.46875,174070.813125,9.0263125,0.271527934759646,51.76372149395,277514.628398935,14.3903145753181
"2","2","1",-0.0894117647058823,67,471029.206689,17.196666689,0.314393674161776,67.4091981854109,473905.987236055,17.3016942233919
"3","3","4",0.0260869565217391,177.130434782609,548254.392173913,19.3890434782609,0.236868569817924,396.66751641277,889190.07890842,33.2357341090994
"4","4","16",0.039,135.733333333333,468897.788427733,23.2705044732,0.191893469008916,300.858190140659,1126962.86729988,61.1752226587765
"5","5","8",0.221851851851852,232.333333333333,868474.158821593,47.8100260071852,0.371711602817985,564.758219199903,2212411.18439173,118.324165627842
"6","6","2",0.190384615384615,345.307692307692,970819.107692308,31.842,0.220861599545612,364.511922354347,735249.82182129,24.9855872502529
"7","7","1",-0.257142857142857,19,122001.09,4.4327,0.287269576397866,27.2151918359336,174751.740449632,6.34930425532331
"8","8","2",0.144137931034483,525.551724137931,2045156.88971434,111.829218561517,0.343672573008705,630.229129886612,2383129.35635881,130.054728606415
"9","10","1",0.0219047619047619,7.85714285714286,50451.5785714286,1.83307142857143,0.335732319677731,8.33837942459873,53541.6515070851,1.94534391975888
"10","11","1",0.395882352941176,70.5294117647059,513335.628235294,15.5164705882353,0.342473700149541,62.1531552367404,452370.552822672,13.6736941520829
"11","12","2",-0.0118181818181818,19.8181818181818,79306.8957628182,4.75018181818182,0.267165658679197,34.5345049860576,115831.216049082,7.08230045782384
"12","13","2",0.1471875,164.53125,480337.5975,17.098479155375,0.313216758656407,217.766963988661,754683.990498938,27.9036426173978
"13","14","16",0.147368421052632,265.157894736842,989925.190123632,47.8530386524737,0.379031545231662,526.120841965871,1935487.31814144,105.424903567944
"14","15","4",0.0717391304347826,139.173913043478,408290.927539217,14.8930724641739,0.224431649321996,212.291962802071,522880.343959798,18.1223318360404
