"","plot","div","cresc.altura","cresc.nfol","cresc.biomassa"
"1","1","1",-0.106858082993258,2.26181878699714,2.26181878699714
"2","2","1",-0.103848834199645,1.24798485069885,1.24798485069885
"3","3","4",0.0163521535083869,2.61957932882847,2.61957932882847
"4","4","16",0.0459455062882236,1.02773364428585,1.02773364428585
"5","5","8",0.309864913110837,1.71881174350235,1.71881174350235
"6","6","2",0.287975213941465,11.2775058587086,11.2775058587086
"7","7","1",-0.372576858700469,4.76796926796927,4.76796926796927
"8","8","2",0.149654405121533,4.5998124775815,4.5998124775815
"9","10","1",0.239601238855371,5.95661375661376,5.95661375661376
"10","11","1",0.74306135829226,6.56447135331433,6.56447135331433
"11","12","2",0.132579962142134,3.07419792120881,3.07419792120881
"12","13","2",0.173080305582205,1.41534227006392,1.41534227006392
"13","14","16",0.231508677203691,2.53051586644673,2.53051586644673
"14","15","4",0.201741746677025,1.12493438028045,1.12493438028045
"15","16","8",0.0448332882409807,3.42823340324863,3.42823340324863
"16","17","1",-0.0879669683548966,0.13801932166294,0.13801932166294
"17","18","2",0.186989720643965,11.3131200275599,11.3131200275599
"18","19","16",0.376106701461136,1.95246694361199,1.95246694361199
"19","20","1",0.0845207695135919,1.03805842568672,1.03805842568672
"20","21","1",0.716499063030605,1.04655488464005,1.04655488464005
"21","22","8",0.381093170150642,1.93097433234565,1.93097433234565
"22","23","1",0.431407374991259,1.91253860518566,1.91253860518566
"23","24","2",0.371702878528476,2.45153508802958,2.45153508802958
"24","25","16",0.12881277663634,0.936778723936493,0.936778723936494
"25","26","1",0.629331576850036,8.53761703629607,8.53761703629607
"26","27","4",0.488669236826406,0.691857077541075,0.691857077541075
"27","28","8",0.790920207489356,4.50023638446715,4.50023638446715
"28","29","16",0.11893718694756,1.34591708289703,1.34591708289703
"29","30","1",0.446570778614435,0.155559163059163,0.155559163059163
"30","31","1",0.542530916714284,1.13971720717473,1.13971720717473
"31","32","4",0.391292931666822,3.10242609737068,3.10242609737068
"32","33","2",0.0666100574551595,1.45269783809238,1.45269783809238
"33","34","2",0.730556744013138,1.06935131599399,1.06935131599399
"34","36","2",0.199144114814375,1.35053064171353,1.35053064171353
"35","37","2",-0.0256112897849449,5.8968537784833,5.8968537784833
"36","38","1",0.833250989206007,4.07352872319397,4.07352872319397
"37","39","16",0.154911884408172,2.95138748237499,2.95138748237499
"38","40","4",0.618538080006266,1.96267718337841,1.96267718337841
"39","41","1",-0.153335908678112,1.00636904761905,1.00636904761905
"40","42","2",-0.0580563972800252,2.66626483926904,2.66626483926904
"41","43","2",0.126319150968951,4.22272561070527,4.22272561070527
"42","44","1",0.108674644681206,1.43857720934132,1.43857720934132
"43","45","2",0.584763828369935,1.99018851251291,1.99018851251291
"44","46","8",0.328060811566268,10.419781000854,10.419781000854
"45","47","1",0.71244490653948,7.74179118380729,7.74179118380729
"46","48","4",0.133452185213891,4.36289506345026,4.36289506345026
"47","49","8",0.150674305022341,1.68989314877664,1.68989314877664
"48","50","16",0.402096176705034,2.09727709761043,2.09727709761043
"49","51","2",0.178722748010292,7.4756283408524,7.4756283408524
"50","52","1",0.865492179702478,1.96975878114497,1.96975878114497
"51","53","2",0.319227301631804,3.82933169930896,3.82933169930896
"52","54","4",0.653088120391829,2.81611844596989,2.81611844596989
"53","55","2",0.195244642503384,1.76091930196413,1.76091930196413
"54","56","1",0.294863147072544,0.38670916804546,0.38670916804546
"55","57","2",-0.299330027675185,2.06010101010101,2.06010101010101
