id.sci,id,altura_aerea_cm,comp_raiz_cm,SLA,LA,t_capac_arm_lenho,t_capac_arm_casca,t_dens,r_capac_arm_casca,r_capac_arm_lenho,r_dens,SRA
A.cea,cumaru,81.7,73,27.4939831654158,6421.11333333333,0.957465690336404,2.75528698786048,0.594266224338703,7.27607308435827,3.13774521999131,0.244078787878788,16.1467399229678
A.col,angico,147.3,108.6,18.1752945048222,6581.38,0.595053039646921,1.8420304247854,0.816406654365034,1.87733445367906,0.723743010737767,0.797401193520887,18.8206981189554
A.pyr,pereiro,50.9,93.3,16.2134869544592,1522.84666666667,0.565424325237536,2.57240776137158,0.821929573673091,3.54177786976875,0.743075759499903,0.703119778771952,24.1783191673771
B.che,mororo,48.1,100.4,29.6307917354468,7030.28666666667,0.744097988730596,2.4653547940206,0.646013400640266,2.58375359237042,0.894093205466415,0.665982973548191,15.0454591630592
C.has,feijao,40.46,93.4,12.3668827102017,1164.74666666667,0.849391193961019,2.53939466319767,0.588444444444444,3.76897360376995,1.23575891813751,0.526633117740588,27.7144169066228
C.lepr,mofumbu,65.6,97.3,19.6508357303453,5361.18,0.907315499310008,2.72250455850386,0.625319470116231,2.68716146274868,0.902160105238061,0.642650716921209,29.6436802734432
C.lept,imburana,60.5,80.16,28.8215638957427,4288.36666666667,3.24763296545381,2.81026678976529,0.235834081016646,5.70429508399791,2.96620600295989,0.228044612371324,22.5613973649539
C.vit,algodao,79.2,95,35.0714959030703,7278.32,3.04179060705534,3.3179773785145,0.274286694449796,5.74679125145004,5.11664113083739,0.145424494949495,46.0629229947779
H.imp,ipe,76.3,101.6,14.6613788398114,8780.17333333332,0.750971294553621,2.16620529338968,0.722426942817558,4.37690768476006,0.957123844718725,0.544225059101655,16.3066721329248
L.fer,juca,75.7,91.4,19.8847092851964,2656.90666666667,0.46969395678204,1.9516951889237,0.89571591379051,1.49172359167364,0.829554722842931,0.672249765010805,11.8004734963076
M.ten,ju_preta,100,107.4,20.0729533195838,3820.99333333333,1.04364497657914,2.45917522040665,0.855750195817892,2.38731641893988,1.25539101650758,0.445162864721486,23.7602497659522
P.gar,cating,82.2,98.8,14.616575642536,9171.80000000001,0.680810795049482,2.07180226350617,0.726712763719672,1.87414409183489,0.697008701862099,0.734170990315727,13.9305824703937
P.mar,imbira,46.4,65.1,28.6708338499596,8757.55999999999,5.60494361860528,2.61345146713798,0.229586853308963,4.4147123407993,5.05347222222222,0.056796650717703,22.5144419191919
P.sti,ju_branca,193,119.9,28.9030933417721,5791.48,0.991198789479554,2.53384559004949,0.624585451610584,2.99241702966727,1.16266328772458,0.558615309188948,23.040933841851
S.mac,burra,94.4,94.1,20.2347692857143,1191.96,0.821284182158323,3.38663517577152,0.651062852975591,3.54325507934622,1.24846405994801,0.609286227162867,18.4559150292642
Z.joa,joazeiro,61.6,95.7,30.0302417715618,2174.8,0.980761733412216,4.16087713144687,0.566543818479017,2.98485167564112,1.21268993468894,0.490400096013853,20.1639831635588
