plot,div,especie,sci_sp,abrev,comp
85,8,imbira,Pseudobombax marginatum,PseuMar,bbd
85,8,joazeiro,Ziziphus joazeiro,ZizJoaz,bbd
85,8,juca,Libidibia ferrea,LibFerr,bbd
85,8,mororo,Bauhinha cheilanta,BauChei,bbd
125,8,algodao,Cochlospermum vitifolium,CochVit,bbd
125,8,angico,Anandenanthera colubrina,AnanCol,bbd
125,8,burra,Sebastiania macrocarpa,SebMac,bbd
125,8,cating,Poincianella gardneriana,Poingard,bbd
125,8,imbira,Pseudobombax marginatum,PseuMar,bbd
125,8,joazeiro,Ziziphus joazeiro,ZizJoaz,bbd
125,8,juca,Libidibia ferrea,LibFerr,bbd
125,8,mororo,Bauhinha cheilanta,BauChei,bbd
136,8,angico,Anandenanthera colubrina,AnanCol,bbe
136,8,burra,Sebastiania macrocarpa,SebMac,bbe
136,8,imburana,Commiphora leptophloeos,ComLepto,bbe
136,8,ipe,Handroanthus impetiginosus ,HandImp,bbe
136,8,joazeiro,Ziziphus joazeiro,ZizJoaz,bbe
136,8,ju_preta,Mimosa tenuiflora,MimTen,bbe
136,8,mororo,Bauhinha cheilanta,BauChei,bbe
136,8,pereiro,Aspidospermum pyrifolium,AspPyri,bbe
151,8,algodao,Cochlospermum vitifolium,CochVit,bbc
151,8,cating,Poincianella gardneriana,Poingard,bbc
151,8,feijao,Cynophala hastata,CynoHas,bbc
151,8,imbira,Pseudobombax marginatum,PseuMar,bbc
151,8,ju_branca,Piptadenia stipulacea,PipStip,bbc
151,8,juca,Libidibia ferrea,LibFerr,bbc
151,8,mofumbu,Combretum leprosum,CombLepr,bbc
4,16,algodao,Cochlospermum vitifolium,CochVit,ccc
4,16,angico,Anandenanthera colubrina,AnanCol,ccc
4,16,burra,Sebastiania macrocarpa,SebMac,ccc
4,16,cating,Poincianella gardneriana,Poingard,ccc
4,16,cumaru,Amburana cearensis,AmbCear,ccc
4,16,feijao,Cynophala hastata,CynoHas,ccc
4,16,imbira,Pseudobombax marginatum,PseuMar,ccc
4,16,imburana,Commiphora leptophloeos,ComLepto,ccc
4,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
4,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
4,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
4,16,juca,Libidibia ferrea,LibFerr,ccc
4,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
4,16,mofumbu,Combretum leprosum,CombLepr,ccc
4,16,mororo,Bauhinha cheilanta,BauChei,ccc
4,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
14,16,algodao,Cochlospermum vitifolium,CochVit,ccc
14,16,angico,Anandenanthera colubrina,AnanCol,ccc
14,16,burra,Sebastiania macrocarpa,SebMac,ccc
14,16,cating,Poincianella gardneriana,Poingard,ccc
14,16,cumaru,Amburana cearensis,AmbCear,ccc
14,16,feijao,Cynophala hastata,CynoHas,ccc
14,16,imbira,Pseudobombax marginatum,PseuMar,ccc
14,16,imburana,Commiphora leptophloeos,ComLepto,ccc
14,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
14,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
14,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
14,16,juca,Libidibia ferrea,LibFerr,ccc
14,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
14,16,mofumbu,Combretum leprosum,CombLepr,ccc
14,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
19,16,algodao,Cochlospermum vitifolium,CochVit,ccc
19,16,angico,Anandenanthera colubrina,AnanCol,ccc
19,16,burra,Sebastiania macrocarpa,SebMac,ccc
19,16,cating,Poincianella gardneriana,Poingard,ccc
19,16,cumaru,Amburana cearensis,AmbCear,ccc
19,16,feijao,Cynophala hastata,CynoHas,ccc
19,16,imbira,Pseudobombax marginatum,PseuMar,ccc
19,16,imburana,Commiphora leptophloeos,ComLepto,ccc
19,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
19,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
19,16,juca,Libidibia ferrea,LibFerr,ccc
19,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
19,16,mofumbu,Combretum leprosum,CombLepr,ccc
19,16,mororo,Bauhinha cheilanta,BauChei,ccc
19,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
25,16,algodao,Cochlospermum vitifolium,CochVit,ccc
25,16,angico,Anandenanthera colubrina,AnanCol,ccc
25,16,burra,Sebastiania macrocarpa,SebMac,ccc
25,16,cating,Poincianella gardneriana,Poingard,ccc
25,16,cumaru,Amburana cearensis,AmbCear,ccc
25,16,feijao,Cynophala hastata,CynoHas,ccc
25,16,imbira,Pseudobombax marginatum,PseuMar,ccc
25,16,imburana,Commiphora leptophloeos,ComLepto,ccc
