plot,div,especie,sci_sp,abrev,comp
131,2,pereiro,Aspidospermum pyrifolium,AspPyri,ll
133,2,cumaru,Amburana cearensis,AmbCear,oo
133,2,feijao,Cynophala hastata,CynoHas,oo
139,2,cumaru,Amburana cearensis,AmbCear,pp
139,2,mofumbu,Combretum leprosum,CombLepr,pp
141,2,cating,Poincianella gardneriana,Poingard,cc
141,2,juca,Libidibia ferrea,LibFerr,cc
142,2,cating,Poincianella gardneriana,Poingard,gg
142,2,ipe,Handroanthus impetiginosus ,HandImp,gg
143,2,juca,Libidibia ferrea,LibFerr,hh
143,2,pereiro,Aspidospermum pyrifolium,AspPyri,hh
145,2,imbira,Pseudobombax marginatum,PseuMar,mm
145,2,mororo,Bauhinha cheilanta,BauChei,mm
150,2,angico,Anandenanthera colubrina,AnanCol,ff
150,2,burra,Sebastiania macrocarpa,SebMac,ff
155,2,angico,Anandenanthera colubrina,AnanCol,ff
155,2,burra,Sebastiania macrocarpa,SebMac,ff
3,4,algodao,Cochlospermum vitifolium,CochVit,aab
3,4,angico,Anandenanthera colubrina,AnanCol,aab
3,4,burra,Sebastiania macrocarpa,SebMac,aab
3,4,joazeiro,Ziziphus joazeiro,ZizJoaz,aab
15,4,ipe,Handroanthus impetiginosus ,HandImp,aai
15,4,joazeiro,Ziziphus joazeiro,ZizJoaz,aai
15,4,ju_branca,Piptadenia stipulacea,PipStip,aai
15,4,mororo,Bauhinha cheilanta,BauChei,aai
27,4,angico,Anandenanthera colubrina,AnanCol,aad
27,4,cating,Poincianella gardneriana,Poingard,aad
27,4,feijao,Cynophala hastata,CynoHas,aad
27,4,pereiro,Aspidospermum pyrifolium,AspPyri,aad
32,4,algodao,Cochlospermum vitifolium,CochVit,aab
32,4,angico,Anandenanthera colubrina,AnanCol,aab
32,4,burra,Sebastiania macrocarpa,SebMac,aab
32,4,joazeiro,Ziziphus joazeiro,ZizJoaz,aab
40,4,imburana,Commiphora leptophloeos,ComLepto,aah
40,4,ipe,Handroanthus impetiginosus ,HandImp,aah
40,4,ju_preta,Mimosa tenuiflora,MimTen,aah
40,4,pereiro,Aspidospermum pyrifolium,AspPyri,aah
48,4,algodao,Cochlospermum vitifolium,CochVit,aac
48,4,imbira,Pseudobombax marginatum,PseuMar,aac
48,4,imburana,Commiphora leptophloeos,ComLepto,aac
48,4,ju_preta,Mimosa tenuiflora,MimTen,aac
54,4,cumaru,Amburana cearensis,AmbCear,aaf
54,4,feijao,Cynophala hastata,CynoHas,aaf
54,4,ju_branca,Piptadenia stipulacea,PipStip,aaf
54,4,mofumbu,Combretum leprosum,CombLepr,aaf
67,4,angico,Anandenanthera colubrina,AnanCol,aad
67,4,cating,Poincianella gardneriana,Poingard,aad
67,4,feijao,Cynophala hastata,CynoHas,aad
67,4,pereiro,Aspidospermum pyrifolium,AspPyri,aad
68,4,ipe,Handroanthus impetiginosus ,HandImp,aai
68,4,joazeiro,Ziziphus joazeiro,ZizJoaz,aai
68,4,ju_branca,Piptadenia stipulacea,PipStip,aai
68,4,mororo,Bauhinha cheilanta,BauChei,aai
75,4,algodao,Cochlospermum vitifolium,CochVit,aac
75,4,imbira,Pseudobombax marginatum,PseuMar,aac
75,4,imburana,Commiphora leptophloeos,ComLepto,aac
75,4,ju_preta,Mimosa tenuiflora,MimTen,aac
