plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mororo,mofumbu,pereiro
97,0,0,0,-0.947368,0,0,0.7125,0,0,0,0,0,0.955033,0.63392,0,0
107,0,0,0,0,0,-0.02669,0,0,0,0,0.00033,0,0,0,0,0
108,-0.625,0.785294,-0.99601,2.72222,0,0.426573,0,-0.901612,0.803571,2.52419,0.241739,2.8192532,1.46871,0.931818,-0.086956,0
109,0,0,0,0,0.238095,7.21941,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,1.310865,0,0,0.5248
111,0.8078,0,0,0,0,0,0,2.38885,0,0,0,0,0,0,0,0
112,3.58333,1.12916,0,1.8875,0,0,-0.761904,0.31758,1.0652173,0,-0.473966,10.16562,0.664634,0.08333,-0.02457,0.9397
113,0,0,0,0,0,0,0,-0.23014,0.93071,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76448,0.278832,0
115,0,-0.090909,-0.9953917,0,0,0.05555,0.333333,-0.52758,1.1428571,-0.555555,-0.592192,0,-0.711111,0.777777,-0.37931,0
117,-0.803571,0.0483601,-0.99206,0,0,0,0,0,0,1.7184,0,0,0,0,0,0
119,0,0,0,0,-0.33333,0,0,0,0,0,0,0,0,0,0.16558,0
120,0,0,0,0.42598,0,0,0,0,0.97543,0,0,0,0,0,0,0
121,0,0,0,2.5208,0,0,-0.293333,0,0,0,0,0,0.571489,1.9762601,0,0
122,0,0,0,0,0,0,0,0,0,2.02156,8.391976,0,0,0,0,0
124,0,0,0,0,0,0,0,-0.20275,1.4462207,0,0,0,0,0,0,0
125,-0.45,2.18627,0.93184,2.337,0,0,-0.5,0,0,0,0,0,9.3881,1.71673,0,0
127,0,0,0,0,0,0,0,0,2.44909,0.171428,0.166373,0,0,1.21164021,0,0
130,-0.695652,-0.970588,-0.397727,0,-0.885416,0,-0.666666,-0.2258594,0,0,-0.392156,5.34693,0.1344332,2.133333,0.002105,1.029761
131,0,0,0,0,0,0,0,0,0,0,0,8.040716,0,0,0,8.348765
132,0,0,0,0,-0.25,2.26692,0,0,0,0,0.33647725,0,0,0,-0.263368,0
133,0,0,0,0,0,4.344041,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,-0.73823,0,0,0,4.657923,0,0,0,0
136,0,-0.4,1.292273,0,0,0,0,-0.537127,0.27272,0,0,1.328,0,-0.25,0,0.125
137,0,0,0,0,0,0.230769,0,0,0,0,-0.652897,0,0,0,0.4960408,0
138,0,0,1.27509,0,0,0,0,0,0,0,0,0,0.5298578,0,-0.012583,0
139,0,0,0,0,-0.51388,0,0,0,0,0,0,0,0,0,0.28829,0
141,0,0,0,1.22617,0,0,0,0,0,0,0,0,0.14716,0,0,0
142,0,0,0,1.22617,0,0,0,0,2.02413,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0.14847,0,0,0.39886
145,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0.5690476,0,0
146,0,0,0,0.34615,0,0,-0.1,0,0,0,0,0,0.687533,0.854368,0,0
149,-0.9,0,0,0,0,0,0,-0.17777,0,0,1.05844,0,0.54718,0,2.55102,-0.1033613
150,0,1.23279,0.08232,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.75,0,0,2.28571,0,1.007936,0,0,0,0,-0.57816,0,0.701673,0,1.76528,0
153,0,1.29365,-0.11897,-0.5444,0,0,0.125,-0.8888,0.6041666,0,-0.42236,1.72923,-0.97058,3,0,0.709677
155,0,0.4016967,-0.11816,0,0,0,0,0,0,0,0,0,0,0,0,0
