"","plot","div","cresc.altura_mean","cresc.nfol_mean","cresc.LA_mean","cresc.biomassa_mean","cresc.altura_sdErr","cresc.nfol_sdErr","cresc.LA_sdErr","cresc.biomassa_sdErr"
"1","1","1",-0.14375,32.46875,174070.813125,9.0263125,0.0479998109875311,9.15061962195598,49058.118904838,2.54387225490376
"2","2","1",-0.0894117647058823,67,471029.206689,17.196666689,0.0762516662702956,16.3491320150967,114939.084822757,4.19627722265786
"3","3","4",0.0260869565217391,177.130434782609,548254.392173913,19.3890434782609,0.0493905110441218,82.7108947602838,185408.948288953,6.93012962351559
"4","4","16",0.039,135.733333333333,468897.788427733,23.2705044732,0.0350347938713673,54.928939116739,205754.327963616,11.1690164702043
"5","5","8",0.221851851851852,232.333333333333,868474.158821593,47.8100260071852,0.071535931315957,108.687769960706,425778.730955567,22.7714962922909
"6","6","2",0.190384615384615,345.307692307692,970819.107692308,31.842,0.0433145233033227,71.4866694239244,144194.35341663,4.90007680567748
"7","7","1",-0.257142857142857,19,122001.09,4.4327,0.108577694054803,10.2863756401137,66049.9494864903,2.39981143683852
"8","8","2",0.144137931034483,525.551724137931,2045156.88971434,111.829218561517,0.063818394667029,117.030611403323,442536.011748708,24.1505568100928
"9","10","1",0.0219047619047619,7.85714285714286,50451.5785714286,1.83307142857143,0.0732627984841103,1.81958356602314,11683.7462316269,0.424508845953199
"10","11","1",0.395882352941176,70.5294117647059,513335.628235294,15.5164705882353,0.0830620729242746,15.0743543533231,109715.974776878,3.31635795773107
"11","12","2",-0.0118181818181818,19.8181818181818,79306.8957628182,4.75018181818182,0.0569599098160233,7.36278120201387,24695.2982380057,1.50995153105371
"12","13","2",0.1471875,164.53125,480337.5975,17.098479155375,0.0553694235068039,38.4961242386972,133410.541833681,4.93271372864198
"13","14","16",0.147368421052632,265.157894736842,989925.190123632,47.8530386524737,0.0869558001094149,120.700399064198,444031.243488584,24.1861316202731
"14","15","4",0.0717391304347826,139.173913043478,408290.927539217,14.8930724641739,0.0467972338542388,44.2659342327001,109028.088542739,3.77876740413984
"15","16","8",0.0438095238095238,273.190476190476,1085478.44215271,56.2104762688095,0.0845308514839861,179.068683538011,684459.458578826,37.4118520718151
"16","17","1",-0.116333333333333,1.83333333333333,12065.8633333333,0.678333333333333,0.065197283867925,4.50850622185336,29672.1926783812,1.66814730208574
"17","18","2",0.1275,719.25,3116549.7235695,117.6143335695,0.0525793051811579,331.969688517194,1420832.6117008,53.9466988280189
"18","19","16",0.127272727272727,342.954545454545,1341648.93929914,73.280751626,0.108510541347965,293.380782348464,1122003.04908886,61.2167638907112
"19","20","1",-0.0882142857142857,15.4285714285714,101541.291428571,5.70857142857143,0.084851338363464,9.76786500197976,64286.0313667295,3.61411005073251
"20","21","1",0.202272727272727,19.0454545454545,22183.0027272727,2.41115454545455,0.0618542198239976,6.0106245300504,7000.8148151309,0.760945065504381
"21","22","8",0.262083333333333,250.458333333333,830126.116925125,39.5836667115417,0.070387074649951,68.2163273404634,243421.142458017,12.9424560954395
"22","23","1",0.17625,9,79021.559997,5.442000003,0.0847251333093417,3.81725406168211,33516.1523176672,2.30816629056953
"23","24","2",0.3068,214.12,647557.6288,21.04832,0.0574157934137754,90.9617010981362,194514.15521487,6.60764928617331
"24","25","16",0.128260869565217,157.782608695652,464237.76343,28.9050783541739,0.0759437387290061,152.371788345104,694000.000364929,32.0041301286459
"25","26","1",0.434516129032258,1210.67741935484,4625990.34776848,252.628021908935,0.102246632785924,180.365348382061,689174.793672078,37.6362360891786
"26","27","4",0.164782608695652,18.695652173913,79551.6611623043,5.2900289883913,0.0609959162930909,5.14702215707392,26643.9451489804,1.80884747901793
"27","28","8",0.352105263157895,207.052631578947,722340.046971684,38.7578246203158,0.0824038654751383,81.1484263406782,299791.048398651,16.2899897695457
"28","29","16",-0.0209090909090909,12.2727272727273,54021.0557612727,4.29479394254546,0.0805938701194231,13.5647208925419,74433.1614462393,4.08223479803504
"29","30","1",0.0753846153846154,3.84615384615385,35276.1538461538,2.48461538461538,0.0523500959347612,3.37381727395359,30943.9772732475,2.17948595897402
"30","31","1",0.1535,41.7,63502.7060139,3.9476000139,0.0418850243303964,8.34143115323807,12702.7206297186,0.789655485287014
"31","32","4",0.304583333333333,330.416666666667,950895.688333333,36.14575,0.0588106121704641,71.2601611535706,166603.779214218,5.45308398624583
"32","33","2",0.0488,209.56,517533.5232,28.29416,0.0450714987547563,66.2041307875372,166861.395773074,9.29326037077049
"33","34","2",0.310869565217391,11.8260869565217,105112.136808739,7.28562319126087,0.0488359075577331,3.08102196350127,27282.5776478179,1.88775798340796
"34","36","2",0.0580769230769231,61.9615384615385,157036.5461745,8.03961538684615,0.0380405420602373,19.0999380401114,50866.357247355,2.56131437250722
"35","37","2",-0.0577272727272727,933.545454545455,1135789.53090909,58.6899090909091,0.0625051749136645,380.311206169339,451096.166352537,23.4972300415881
"36","38","1",0.332777777777778,575.055555555556,1250630.82222222,42.5541111111111,0.0740552944604099,73.3582164656493,159539.449169494,5.42850801845805
"37","39","16",0.13,355.52,1174513.93753916,60.58709607368,0.0690869017976635,161.804276004478,581858.511279038,31.8122911338134
"38","40","4",0.298125,339,1294262.78885706,69.880437613,0.0643961365238129,134.276473631712,513293.44525244,28.0801525521755
"39","41","1",-0.1515,1.9,16639.364,0.6232,0.0729789984209589,0.794388212134941,6956.90243106447,0.260559333580261
"40","42","2",-0.0825,2.75,42051.59,1.53375,0.102951965220957,8.09044851308363,20327.0499774389,0.840844935381752
