"","id.sci","id","rep","idade","altura_aerea_cm","comp_raiz_cm","f_pesofresco","f_pesofresco_peciolo","f_pesofresco_sla","f_pesofresco_peciolo_SLA","t_pesofresco","t_pesofresco_vol","t_pesofresco_casca_vol","t_volume","r_presofresco","r_pesofrescoSRL_sup","pesofresco_SRL_inf","r_pesofresco_vol","r_pesofresco_casca_vol","r_volume","r_pesofresco_bioq","r_reserva","t_pesoseco","r_pesoseco","t_pesoseco_casca_vol","t_pesoseco_vol","r_pesoseco_casca_vol","r_pesoseco_vol","t_pesoenxarcado_casca_vol","t_pesoenxarcado_vol","r_pesoenxarcado_casca_vol","r_pesoenxarcado_vol","f_pesoseco","f_pesoseco_peciolo","f_pesoseco_sla","f_pesoseco_peciolo_SLA","r_pesosecoSRL_sup","pesoseco_SRL_inf","f_areaumida","f_areaumida_pec","r_areaumidasup","f_peso_fresco","f_fresco_peciolo","f_fresco_total","f_peso_seco","f_biomassa","f_seco_peciolo","f_seco_total","SLA","LA","t_peso_fresco","t_peso_seco","t_capac_arm_casca","t_capac_arm_lenho","t_dens","r_peso_fresco","r_peso_seco","r_capac_arm_casca","r_capac_arm_lenho","r_dens","SRA"
"37","C.lept","imburana",2,"6months",56,94,22.15,1.71,2.73,0.27,38.22,3.15,1.91,2.97,60.52,1.49,1.13,0.95,0.88,0.86,1.62,"n",8.54,12,0.272,0.717,0.0675,0.2082,1.31,2.97,0.4209,0.8274,4.62,0.32,0.53,0.05,0.23,0.01,122.728,NA,49.489,24.88,1.98,26.86,5.15,0.176666666666667,0.37,5.52,23.1562264150943,4090.93333333333,43.28,9.529,3.81617647058824,3.14225941422594,0.241414141414141,66.59,12.5157,5.23555555555556,2.97406340057637,0.242093023255814,21.5169565217391
"38","C.lept","imburana",3,"6months",45.5,52.3,4.5,0.63,1.71,0.24,7.1,1.06,1.12,1.05,11.39,0.84,1.16,1.15,0.95,1.05,1.02,"n",0.81,1.94,0.196,0.186,0.04,0.15,0.71,0.98,0.39,0.5,0.9,0.1,0.34,0.043,0.22,0.11,102.083,NA,29.88,6.21,0.87,7.08,1.24,0.113333333333333,0.143,1.383,30.0244117647059,3402.76666666667,9.28,1.192,2.62244897959184,4.26881720430108,0.177142857142857,16.51,2.46,8.75,2.33333333333333,0.142857142857143,13.5818181818182
"39","C.lept","imburana",4,"6months",42,82.5,6.55,0.63,2.07,0.23,8.34,1.46,1.05,1.37,28.26,0.68,1.05,0.44,0.48,0.41,1.12,"n",1.19,4.9,0.133,0.255,0.0344,0.0766,0.49,1.28,0.2046,0.4133,0.97,0.1,0.33,0.03,0.09,0.1,125.329,NA,29.658,8.62,0.86,9.48,1.3,0.11,0.13,1.43,37.9784848484848,4177.63333333333,10.85,1.578,2.68421052631579,4.01960784313725,0.186131386861314,32.03,5.201,4.94767441860465,4.39556135770235,0.186829268292683,32.9533333333333
"40","C.lept","imburana",5,"6months",105,92,52.05,6.58,3.87,0.34,92.82,5.72,2.57,5.42,150.25,0.94,1.84,0.72,0.67,0.68,1.77,"n",22.31,39.17,0.419,1.502,0.0596,0.2096,1.52,5.26,0.393,0.6736,14.16,1.21,0.86,0.06,0.22,0.18,164.672,NA,27.081,55.92,6.92,62.84,15.02,0.286666666666667,1.27,16.29,19.1479069767442,5489.06666666667,101.11,24.231,2.62768496420048,2.50199733688415,0.277121771217712,156.19,39.8392,5.59395973154362,2.21374045801527,0.308235294117647,12.3095454545455
"41","P.gar","catingueira",1,"6months",53,101,4.9,0.18,5.13,0.2,7.25,0.73,0.34,0.56,24.58,0.56,1.11,0.59,0.16,0.44,1.22,"n",3.14,9.83,0.067,0.391,0.0554,0.3364,0.25,0.68,0.1577,0.5587,1.7,0.07,1.72,0.07,0.26,0.18,253.329,NA,51.87,10.03,0.38,10.41,3.42,0.573333333333333,0.14,3.56,14.7284302325581,8444.3,8.32,3.598,2.73134328358209,0.739130434782609,0.698214285714286,28.22,10.6618,1.84657039711191,0.660820451843044,0.764545454545455,19.95
"42","P.gar","catingueira",2,"6months",48,93.5,2.74,0.16,4.6,0.23,7.1,0.95,0.31,0.74,24.38,0.63,1.47,0.97,0.18,0.76,1.33,"n",2.94,9.93,0.097,0.515,0.0593,0.5008,0.27,0.89,0.1823,0.9141,0.98,0.06,1.57,0.09,0.27,0.31,290.215,NA,45.596,7.34,0.39,7.73,2.55,0.523333333333333,0.15,2.7,18.4850318471338,9673.83333333333,8.36,3.552,1.78350515463918,0.728155339805825,0.695945945945946,28.96,11.0701,2.07419898819562,0.825279552715655,0.658947368421053,16.8874074074074
"43","P.gar","catingueira",3,"6months",96,100,15.24,0.54,5.3,0.26,24.52,1.76,0.48,1.4,48.72,0.65,0.6,0.33,0.11,0.27,1.68,"n",12.83,21.47,0.125,1.001,0.043,0.1891,0.35,1.67,0.1069,0.3295,5.55,0.21,1.79,0.1,0.26,0.18,252.015,NA,33.878,20.54,0.8,21.34,7.34,0.596666666666667,0.31,7.65,14.0790502793296,8400.5,26.76,13.956,1.8,0.668331668331668,0.715,52.09,22.1421,1.48604651162791,0.742464304600741,0.70037037037037,13.03
"44","P.gar","catingueira",4,"6months",94,96.5,13.7,0.62,6.84,0.2,35.05,1.5,0.4,1.19,69.58,1,1.48,0.52,0.17,0.39,1.38,"n",20.2,32.61,0.137,0.886,0.0624,0.318,0.38,1.47,0.1831,0.5097,5.95,0.27,2.98,0.09,0.47,0.5,349.703,NA,48.841,20.54,0.82,21.36,8.93,0.993333333333333,0.36,9.29,11.735,11656.7666666667,36.95,21.223,1.77372262773723,0.659142212189616,0.74453781512605,74.13,33.9604,1.93429487179487,0.602830188679245,0.815384615384615,10.3917021276596
"45","P.gar","catingueira",5,"6months",120,103,29.54,1.5,3.38,0.13,56.4,1.88,0.56,1.49,88.02,1.63,1.29,0.71,0.26,0.56,1.42,"n",31.46,32.93,0.159,1.162,0.0743,0.4097,0.52,1.87,0.2251,0.6775,13.19,0.68,1.64,0.06,0.71,0.34,230.508,NA,66.696,32.92,1.63,34.55,14.83,0.546666666666667,0.74,15.57,14.0553658536585,7683.6,58.84,32.781,2.27044025157233,0.609294320137694,0.77986577181208,93.33,34.464,2.02960969044415,0.653649011471809,0.731607142857143,9.39380281690141
"46","S.mac","burra",1,"6months",88,85,33,1.29,0.89,0.04,25.25,0.67,0.38,0.61,16.29,1.16,1.22,0.86,0.5,0.82,1.4,"n",12.06,10.98,0.11,0.41,0.1069,0.5164,0.48,0.75,0.4906,0.9024,8.7,0.34,0.25,0.12,NA,0.43,48.616,NA,48.381,33.89,1.33,35.22,8.95,0.0833333333333333,0.46,9.41,19.4464,1620.53333333333,26.3,12.58,3.36363636363636,0.829268292682927,0.672131147540984,21.43,NA,3.58933582787652,0.747482571649884,0.629756097560976,NA
