plot,div,especie,cresc.altura,cresc.nfol,cresc.biomassa
1,1,mofumbu,-0.106858082993258,2.26181878699714,2.26181878699714
2,1,mororo,-0.103848834199645,1.24798485069885,1.24798485069885
3,4,algodao,0.116153211879203,7.05381230506387,7.05381230506387
3,4,angico,0.019823096067131,1.23160029194745,1.23160029194745
3,4,burra,-0.063555194805195,-0.982134951072325,-0.982134951072325
3,4,joazeiro,-0.078074555231363,2.89866051896268,2.89866051896268
4,16,algodao,0.051359751359751,1.63988095238095,1.63988095238095
4,16,angico,-0.090004139072848,0.808277541083384,0.808277541083384
4,16,burra,-0.244003308519438,1.37949788638004,1.37949788638004
4,16,cating,0.3897616468039,-0.349206349206349,-0.349206349206349
4,16,cumaru,-0.171875,-0.666666666666667,-0.666666666666667
4,16,feijao,0.37037037037037,0.907621951219512,0.907621951219512
4,16,imbira,0.101627248837679,-0.333333333333333,-0.333333333333333
4,16,imburana,0.088888888888889,0.8,0.8
4,16,ipe,-0.39622641509434,0,0
4,16,joazeiro,-0.096370176586004,1.36778434395341,1.36778434395341
4,16,ju_branca,-0.0078125,-0.179022108003031,-0.179022108003031
4,16,ju_preta,0.059800664451827,2.43865899333151,2.43865899333151
4,16,juca,0.011225155955317,2.19187675070028,2.19187675070028
4,16,mofumbu,-0.008405172413793,1.3013879709187,1.3013879709187
4,16,mororo,0.171794871794872,2.70059288537549,2.70059288537549
4,16,pereiro,0.175,1.07532051282051,1.07532051282051
5,8,cumaru,-0.24,-0.714285714285714,-0.714285714285714
5,8,feijao,0.321714237602088,0.637045512331553,0.637045512331553
5,8,imburana,0.155065446576641,2.30654229491439,2.30654229491439
5,8,ipe,0.144107744107744,0.261243386243386,0.261243386243386
5,8,ju_branca,0.000456078335771,0.085086737695961,0.085086737695961
5,8,ju_preta,0.767654283836814,8.22699937532624,8.22699937532624
5,8,mofumbu,0.289424141749723,0.507974996402819,0.507974996402819
5,8,pereiro,0.589621726716824,0.588504983388704,0.588504983388704
6,2,algodao,0.314681212225795,21.5817514190773,21.5817514190773
6,2,joazeiro,0.265084358269183,3.03410941041376,3.03410941041376
7,1,cumaru,-0.372576858700469,4.76796926796927,4.76796926796927
8,2,angico,0.107426305905693,0.96878495691206,0.96878495691206
8,2,ju_preta,0.183964735734403,8.23083999825094,8.23083999825095
10,1,cumaru,0.239601238855371,5.95661375661376,5.95661375661376
11,1,algodao,0.74306135829226,6.56447135331433,6.56447135331433
12,2,cating,0.417127386500764,1.15280392313416,1.15280392313416
12,2,juca,-0.064414408567687,4.40439376602972,4.40439376602972
13,2,joazeiro,0.157823954557567,2.37802077228626,2.37802077228626
13,2,ju_branca,0.188336656606843,0.452663767841575,0.452663767841575
14,16,algodao,0.24375,5.03333333333333,5.03333333333333
14,16,angico,NA,-0.458333333333333,-0.458333333333333
14,16,burra,0.025477707006369,-0.220132474477394,-0.220132474477394
14,16,cating,0.096774193548387,0.6,0.6
14,16,cumaru,NA,-0.5,-0.5
14,16,feijao,1.52173913043478,0.451612903225806,0.451612903225806
14,16,imbira,0.029850746268657,23,23
14,16,imburana,0.714844623295327,1.23479513444302,1.23479513444302
14,16,ipe,-0.62962962962963,-0.8375,-0.8375
14,16,joazeiro,0.081632653061225,1.53953242835596,1.53953242835596
14,16,ju_branca,0.231582671593679,2.40422077922078,2.40422077922078
14,16,ju_preta,0.757478140819144,10.4079996158648,10.4079996158648
14,16,juca,-0.092864173228346,-0.585553278688525,-0.585553278688525
14,16,mofumbu,-0.570469798657718,0.024096385542169,0.024096385542169
14,16,pereiro,0.066853669939224,1.32523148148148,1.32523148148148
15,4,ipe,0.425672877846791,1.06277056277056,1.06277056277056
15,4,joazeiro,0.189596450083783,2.34558098107151,2.34558098107151
15,4,ju_branca,-0.036241164899702,-0.008757621860105,-0.008757621860105
15,4,mororo,0.30053309007151,1.08151936917465,1.08151936917465
16,8,cumaru,-0.246575342465753,0,0
16,8,imburana,0.141068716226084,1.3671912409232,1.3671912409232
16,8,ipe,0.098360655737705,-0.07843137254902,-0.07843137254902
16,8,ju_branca,-0.025206784997414,1.24425528167458,1.24425528167458
16,8,ju_preta,0.370498084291188,17.2965302024513,17.2965302024513
16,8,mofumbu,-0.180153808786675,0.332003017080879,0.332003017080879
16,8,pereiro,-0.04503702904803,0.517658942364825,0.517658942364825
17,1,angico,-0.087966968354897,0.13801932166294,0.13801932166294
18,2,algodao,0.309510784165744,2.83251043618691,2.83251043618691
18,2,imburana,0.113477082530897,16.4014857823837,16.4014857823837
19,16,algodao,0.019607843137255,0.486486486486487,0.486486486486486
19,16,angico,0.362881123672491,1.78216374269006,1.78216374269006
19,16,burra,NA,NA,NA
19,16,cating,0.419992997198879,3.27777777777778,3.27777777777778
19,16,cumaru,0.037735849056604,0,0
19,16,feijao,0.844399731723675,0.803463203463203,0.803463203463204
19,16,imbira,-0.014760348583878,-0.333333333333333,-0.333333333333333
19,16,imburana,0.065995762711864,0.893529411764706,0.893529411764706
19,16,joazeiro,2.55,1.20863309352518,1.20863309352518
19,16,ju_branca,-0.3,-0.451546391752577,-0.451546391752577
19,16,ju_preta,0.577924050632911,9.40430610701456,9.40430610701456
19,16,juca,-0.816326530612245,1.71428571428571,1.71428571428571
19,16,mofumbu,-0.196735395189003,0.964827586206897,0.964827586206896
19,16,mororo,1.25,2.77690100430416,2.77690100430416
19,16,pereiro,0.163934426229508,0.857142857142857,0.857142857142857
20,1,angico,0.084520769513592,1.03805842568672,1.03805842568672
21,1,feijao,0.716499063030605,1.04655488464005,1.04655488464005
