plot,div,cresc.altura,cresc.nfol,cresc.biomassa
1,1,-0.106858082993258,2.26181878699714,2.26181878699714
2,1,-0.103848834199645,1.24798485069885,1.24798485069885
3,4,0.016352153508387,2.61957932882847,2.61957932882847
4,16,0.045945506288224,1.02773364428585,1.02773364428585
5,8,0.309864913110837,1.71881174350235,1.71881174350235
6,2,0.287975213941465,11.2775058587086,11.2775058587086
7,1,-0.372576858700469,4.76796926796927,4.76796926796927
8,2,0.149654405121533,4.5998124775815,4.5998124775815
10,1,0.239601238855371,5.95661375661376,5.95661375661376
11,1,0.74306135829226,6.56447135331433,6.56447135331433
12,2,0.132579962142134,3.07419792120881,3.07419792120881
13,2,0.173080305582205,1.41534227006392,1.41534227006392
14,16,0.231508677203691,2.53051586644673,2.53051586644673
15,4,0.201741746677025,1.12493438028045,1.12493438028045
16,8,0.044833288240981,3.42823340324863,3.42823340324863
17,1,-0.087966968354897,0.13801932166294,0.13801932166294
18,2,0.186989720643965,11.3131200275599,11.3131200275599
19,16,0.376106701461136,1.95246694361199,1.95246694361199
20,1,0.084520769513592,1.03805842568672,1.03805842568672
21,1,0.716499063030605,1.04655488464005,1.04655488464005
22,8,0.381093170150642,1.93097433234565,1.93097433234565
23,1,0.431407374991259,1.91253860518566,1.91253860518566
24,2,0.371702878528476,2.45153508802958,2.45153508802958
25,16,0.12881277663634,0.936778723936493,0.936778723936494
26,1,0.629331576850036,8.53761703629607,8.53761703629607
27,4,0.488669236826406,0.691857077541075,0.691857077541075
28,8,0.790920207489356,4.50023638446715,4.50023638446715
29,16,0.11893718694756,1.34591708289703,1.34591708289703
30,1,0.446570778614435,0.155559163059163,0.155559163059163
31,1,0.542530916714284,1.13971720717473,1.13971720717473
32,4,0.391292931666822,3.10242609737068,3.10242609737068
33,2,0.06661005745516,1.45269783809238,1.45269783809238
34,2,0.730556744013138,1.06935131599399,1.06935131599399
36,2,0.199144114814375,1.35053064171353,1.35053064171353
37,2,-0.025611289784945,5.8968537784833,5.8968537784833
38,1,0.833250989206007,4.07352872319397,4.07352872319397
39,16,0.154911884408172,2.95138748237499,2.95138748237499
40,4,0.618538080006266,1.96267718337841,1.96267718337841
41,1,-0.153335908678112,1.00636904761905,1.00636904761905
42,2,-0.058056397280025,2.66626483926904,2.66626483926904
43,2,0.126319150968951,4.22272561070527,4.22272561070527
44,1,0.108674644681206,1.43857720934132,1.43857720934132
45,2,0.584763828369935,1.99018851251291,1.99018851251291
46,8,0.328060811566268,10.419781000854,10.419781000854
47,1,0.71244490653948,7.74179118380729,7.74179118380729
48,4,0.133452185213891,4.36289506345026,4.36289506345026
49,8,0.150674305022341,1.68989314877664,1.68989314877664
50,16,0.402096176705034,2.09727709761043,2.09727709761043
51,2,0.178722748010292,7.4756283408524,7.4756283408524
52,1,0.865492179702478,1.96975878114497,1.96975878114497
53,2,0.319227301631804,3.82933169930896,3.82933169930896
54,4,0.653088120391829,2.81611844596989,2.81611844596989
55,2,0.195244642503384,1.76091930196413,1.76091930196413
56,1,0.294863147072544,0.38670916804546,0.38670916804546
57,2,-0.299330027675185,2.06010101010101,2.06010101010101
59,8,0.060162080044509,12.4955515098723,12.4955515098723
60,1,0.732662278414247,0.849793977419495,0.849793977419495
61,2,0.042293924880676,5.4625905987395,5.4625905987395
62,1,-0.134328358208955,-0.649801587301587,-0.649801587301587
64,2,0.333442209591221,0.874010822922503,0.874010822922503
65,1,0.17095936771125,13.8604681266446,13.8604681266446
66,1,0.077570213755481,1.43424312565687,1.43424312565687
67,4,0.584183525920869,0.017688191705883,0.017688191705883
68,4,0.420880446952346,1.65875498057926,1.65875498057926
69,1,0.156562970658035,1.08491200803874,1.08491200803874
71,16,0.07953385483429,2.53323492041207,2.53323492041207
72,2,0.253086328194964,1.31076776404545,1.31076776404545
73,2,0.325259710967018,51.8298373773277,51.8298373773277
74,2,2.52631578947368,1.14285714285714,1.14285714285714
75,4,0.21397144083115,2.25995799848823,2.25995799848823
76,4,0.161008782110781,4.7559857857962,4.7559857857962
77,1,1.12250081703302,0.954739184934018,0.954739184934018
78,2,0.328213953407078,7.40256690890041,7.40256690890041
79,8,0.472866207648955,2.13632455041998,2.13632455041998
80,4,0.182503743843586,2.41014054886723,2.41014054886723
81,4,0.033739695160728,1.73272294306916,1.73272294306916
82,1,0.083921689442129,-0.082063120722291,-0.082063120722291
83,1,-0.038930019322213,1.08585882136431,1.08585882136431
85,8,-0.11889344647889,0.98422782288876,0.984227822888761
86,4,0.767790888171193,0.607654811787277,0.607654811787277
87,2,0.525475002204201,1.61598576004525,1.61598576004525
88,2,0.292035425379987,3.21040806523268,3.21040806523268
89,2,0.11443301594632,2.00011501489775,2.00011501489775
90,1,0.975104843528944,1.61780950530951,1.61780950530951
91,2,-0.127819543574125,0.668415387710598,0.668415387710598
92,2,0.068933159214283,0.106238817362749,0.106238817362749
93,1,-0.02282108419234,1.83156565656566,1.83156565656566
94,4,0.018663137918551,1.0771702422915,1.0771702422915
95,16,0.249997996307213,1.08310927382762,1.08310927382762
96,2,0.262474267897345,3.94193696401137,3.94193696401137
97,4,-0.002572442245196,0.684668319384919,0.684668319384919
98,1,0.265779116892723,0.593117219614109,0.593117219614109
99,1,0.200053020287547,2.18639014975105,2.18639014975105
100,1,0.857805587657508,8.32994765572774,8.32994765572773
101,1,0.64577824797879,3.70284193686971,3.70284193686971
102,1,0.838048579799691,5.00232350392904,5.00232350392904
103,1,0.729685361730937,4.95930706221113,4.95930706221113
104,1,1.81278577779738,1.09756286936899,1.09756286936899
105,1,0.103462871374211,0.282709850988967,0.282709850988967
106,1,-0.244995678876998,0.567738095238095,0.567738095238095
107,2,0.275651051044058,-0.008671172211814,-0.008671172211814
108,16,0.123306215502883,0.77297615919691,0.77297615919691
109,2,2.36548083387164,5.31542207792208,5.31542207792208
110,2,0.055751332325093,0.96150312169315,0.96150312169315
111,2,0.2543022962969,1.67019703854248,1.67019703854248
112,16,0.341514162224736,1.52203480816159,1.52203480816159
113,2,0.446907877868028,0.242800762199609,0.242800762199609
114,2,0.157939006769606,1.14340718340083,1.14340718340083
115,16,0.061312874088362,-0.079074674989918,-0.079074674989918
116,1,0.084339622641509,4.26805555555556,4.26805555555556
117,4,-0.094139968952374,0.094191834930991,0.094191834930991
119,2,-0.056185335675595,0.088828469063984,0.088828469063984
120,2,0.471925739163616,0.81059778287812,0.81059778287812
121,4,0.29037637321652,1.17372444151447,1.17372444151447
122,2,0.416247677624253,6.89305479576972,6.89305479576972
123,1,0.248854270773403,0.951363109639796,0.951363109639796
124,2,0.4662882608185,0.346906790370547,0.346906790370547
